Betreiber,Anzeigename (Karte),Strasse,Hausnummer,Adresszusatz,Postleitzahl,Ort,Kreis/kreisfreie Stadt,Bundesland,Breitengrad,Laengengrad,Inbetriebnahmedatum,Nennleistung Ladeeinrichtung [kW],Art der Ladeeinrichtung,Anzahl Ladepunkte,Steckertypen1,P1 [kW],Public Key1,Steckertypen2,P2 [kW],Public Key2,Steckertypen3,P3 [kW],Public Key3,Steckertypen4,P4 [kW],Public Key4,Steckertypen5,P5 [kW],Public Key5,Steckertypen6,P6 [kW],Public Key6
Volksbank Raiffeisenbank eG,,Sï¿½derquerweg,105,,21037.0,Hamburg,Kreisfreie Stadt Hamburg,Hamburg,53.4076850,10.1771350,2016-12-03,"93,0",Schnellladeeinrichtung,2.0,AC Typ 2 Fahrzeugkupplung,"43,0",,DC Fahrzeugkupplung Typ Combo 2 (CCS); DC CHAdeMO,"50,0",,,,,,,,,,,,,
Shell Deutschland GmbH,,Bremer Strasse,112,,21073.0,Hamburg,Kreisfreie Stadt Hamburg,Hamburg,53.45181,9.97129,2020-12-23,360,Schnellladeeinrichtung,2.0,DC Fahrzeugkupplung Typ Combo 2 (CCS); DC CHAdeMO,360,,DC Fahrzeugkupplung Typ Combo 2 (CCS); DC CHAdeMO,360,,,,,,,,,,,,,
Shell Deutschland GmbH,,Bremer Strasse,112,,21073.0,Hamburg,Kreisfreie Stadt Hamburg,Hamburg,53.45181,9.97129,2020-12-23,360,Schnellladeeinrichtung,2.0,DC Fahrzeugkupplung Typ Combo 2 (CCS); DC CHAdeMO,360,,DC Fahrzeugkupplung Typ Combo 2 (CCS); DC CHAdeMO,360,,,,,,,,,,,,,
EWE Go GmbH,EWE Go GmbH,Stader Str.,256,,21075.0,Hamburg,Kreisfreie Stadt Hamburg,Hamburg,53.471091,9.928598,2022-04-04,160,Schnellladeeinrichtung,2.0,DC Fahrzeugkupplung Typ Combo 2 (CCS),150,,DC Fahrzeugkupplung Typ Combo 2 (CCS),150,,,,,,,,,,,,,
Allego GmbH,Allego,Heimfelder Str.,123,,21075.0,Hamburg,Kreisfreie Stadt Hamburg,Hamburg,53.460998,9.940608,2019-07-12,75,Schnellladeeinrichtung,2.0,DC Fahrzeugkupplung Typ Combo 2 (CCS),53,,AC Typ 2 Fahrzeugkupplung,22,,,,,,,,,,,,,
Tesla Germany GmbH,,Heimfelder Strasse,123,,21075.0,Hamburg,Kreisfreie Stadt Hamburg,Hamburg,53.4607610,9.9397780,2023-04-17,"250,0",Schnellladeeinrichtung,1.0,DC Fahrzeugkupplung Typ Combo 2 (CCS),"250,0",,,,,,,,,,,,,,,,
Tesla Germany GmbH,,Heimfelder Strasse,123,,21075.0,Hamburg,Kreisfreie Stadt Hamburg,Hamburg,53.4607610,9.9397780,2023-04-17,"250,0",Schnellladeeinrichtung,1.0,DC Fahrzeugkupplung Typ Combo 2 (CCS),"250,0",,,,,,,,,,,,,,,,
Tesla Germany GmbH,,Heimfelder Strasse,123,,21075.0,Hamburg,Kreisfreie Stadt Hamburg,Hamburg,53.4607610,9.9397780,2023-04-17,"250,0",Schnellladeeinrichtung,1.0,DC Fahrzeugkupplung Typ Combo 2 (CCS),"250,0",,,,,,,,,,,,,,,,
Tesla Germany GmbH,,Heimfelder Strasse,123,,21075.0,Hamburg,Kreisfreie Stadt Hamburg,Hamburg,53.4607610,9.9397780,2023-04-17,"250,0",Schnellladeeinrichtung,1.0,DC Fahrzeugkupplung Typ Combo 2 (CCS),"250,0",,,,,,,,,,,,,,,,
Citywatt GmbH,Citywatt GmbH,Maldfeldstrasse,2a,,21077.0,Hamburg,Kreisfreie Stadt Hamburg,Hamburg,53.430452,9.934886,2022-08-10,300,Schnellladeeinrichtung,2.0,DC Fahrzeugkupplung Typ Combo 2 (CCS),300,3056301006072A8648CE3D020106052B8104000A03420004C9424DB930FF84F138628FC4514583E77787F9582BDA06829972820F531D66DE244850C0437243F3467B48145545998DB0BD8E83D36306824AF47F28C4B3AC2B,DC Fahrzeugkupplung Typ Combo 2 (CCS),300,3056301006072A8648CE3D020106052B8104000A034200041407D16034C86B2E0B2C8527DECA66908FF4007F654BF223E5745C4926084BF0FA7B17071A2523BA278FE2599A17F8367479AAB598BA76056586D55621F0A76E,,,,,,,,,,,,
