_fid;zaehlstelle;bezeichnung;knoten;letzte_zaehlung;geom;coordinate_reference_system
APP_KFZ_PEGEL_37156;2641;Stresemannstraße NW Neuer Pferdemarkt T35;;05.01.2004;POINT (9.962623 53.558744);EPSG:4326
APP_KFZ_PEGEL_37157;2642;Neuer Pferdemarkt N Stresemannstraße T36;;05.01.2004;POINT (9.964070 53.558651);EPSG:4326
APP_KFZ_PEGEL_37158;2646;Neuer Pferdemarkt S Stresemannstraße T129;;05.01.2004;POINT (9.964044 53.557510);EPSG:4326
APP_KFZ_PEGEL_37159;2658;Finkenwerder Straße W Dradenauer Deichweg T296;;28.01.2020;POINT (9.894288 53.516253);EPSG:4326
APP_KFZ_PEGEL_37160;2662;Kieler Straße N Langenfelder Straße T172;;08.02.2024;POINT (9.944138 53.569336);EPSG:4326
APP_KFZ_PEGEL_37161;2672;Kieler Straße N Warnstedtstraße T164;;03.02.2004;POINT (9.933559 53.584035);EPSG:4326
APP_KFZ_PEGEL_37162;2675;Langenfelder Damm SO Kieler Straße T165;;03.02.2004;POINT (9.934579 53.583029);EPSG:4326
APP_KFZ_PEGEL_37163;2676;Kieler Straße S Langenfelder Damm T166;;07.09.2010;POINT (9.933863 53.582738);EPSG:4326
APP_KFZ_PEGEL_37164;2682;Holstenstraße N Max-Brauer-Allee T173;;29.09.2005;POINT (9.948827 53.559537);EPSG:4326
APP_KFZ_PEGEL_37165;2683;Max-Brauer-Allee NO Holstenstraße T174;;10.02.2004;POINT (9.950400 53.559003);EPSG:4326
APP_KFZ_PEGEL_37166;2686;Holstenstraße S Max-Brauer-Allee T175;;10.02.2004;POINT (9.949636 53.557939);EPSG:4326
APP_KFZ_PEGEL_37167;2687;Max-Brauer-Allee SW Holstenstraße T176;;08.02.2024;POINT (9.948559 53.558379);EPSG:4326
APP_KFZ_PEGEL_37168;2691;Schäferkampsallee NW Beim Schlump T182;;05.01.2004;POINT (9.969279 53.567912);EPSG:4326
APP_KFZ_PEGEL_37169;2693;Beim Schlump NO Schäferkampsallee T179;;05.01.2004;POINT (9.970723 53.567694);EPSG:4326
APP_KFZ_PEGEL_37170;2695;Schröderstiftstraße SO Beim Schlump T180;;05.01.2004;POINT (9.971087 53.567098);EPSG:4326
APP_KFZ_PEGEL_37171;2697;Kleiner Schäferkamp SW Schäferkampsallee T181;;05.01.2004;POINT (9.969080 53.567159);EPSG:4326
APP_KFZ_PEGEL_37172;2702;Hoheluftchaussee N Gärtnerstraße T135;;22.01.2004;POINT (9.969223 53.584623);EPSG:4326
APP_KFZ_PEGEL_37173;2703;Breitenfelder Straße NO Hoheluftchaussee T39;;22.01.2004;POINT (9.970393 53.584254);EPSG:4326
APP_KFZ_PEGEL_37174;2705;Hoheluftchaussee SO Gärtnerstraße T40;;08.02.2024;POINT (9.970150 53.583555);EPSG:4326
APP_KFZ_PEGEL_37175;2707;Gärtnerstraße SW Hoheluftchaussee T116;;22.01.2004;POINT (9.968739 53.583953);EPSG:4326
APP_KFZ_PEGEL_37176;2713;Rugenfeld NO Osdorfer Landstraße T25;;26.02.2004;POINT (9.837902 53.574550);EPSG:4326
APP_KFZ_PEGEL_37177;2714;Osdorfer Landstraße O Rugenfeld T66;;26.02.2004;POINT (9.838457 53.573584);EPSG:4326
APP_KFZ_PEGEL_37178;2717;Isfeldstraße SW Osdorfer Landstraße T124;;26.02.2004;POINT (9.836575 53.573148);EPSG:4326
APP_KFZ_PEGEL_37179;2718;Osdorfer Landstraße W Rugenfeld T24;;02.11.2023;POINT (9.835613 53.574134);EPSG:4326
APP_KFZ_PEGEL_37180;2728;Baumwall W Niederbaumbrücke T198;;22.09.2020;POINT (9.980856 53.544213);EPSG:4326
APP_KFZ_PEGEL_37181;2738;Ludwig-Erhard-Straße W Admiralitätstraße T197;;17.01.2019;POINT (9.983743 53.548324);EPSG:4326
APP_KFZ_PEGEL_37182;2742;Stadthausbrücke N Neuer Wall T196;;22.09.2020;POINT (9.985926 53.550670);EPSG:4326
APP_KFZ_PEGEL_37183;2751;Jungfernstieg NW Neuer Wall T195;;22.09.2020;POINT (9.992493 53.553304);EPSG:4326
APP_KFZ_PEGEL_37184;2762;Neuer Jungfernstieg N Esplanade T190;;15.09.2020;POINT (9.993709 53.558166);EPSG:4326
APP_KFZ_PEGEL_37185;2772;Dammtordamm N Esplanade T189;;17.08.2021;POINT (9.989422 53.558813);EPSG:4326
APP_KFZ_PEGEL_37186;2783;St. Benedictstraße NO Heilwigstraße T188;;10.11.2022;POINT (9.995425 53.583680);EPSG:4326
APP_KFZ_PEGEL_37187;2792;Heilwigstraße N Isestraße T187;;10.11.2022;POINT (9.993966 53.584564);EPSG:4326
APP_KFZ_PEGEL_37188;2802;Oderfelder Straße N Isestraße T186;;11.04.2019;POINT (9.988292 53.584854);EPSG:4326
APP_KFZ_PEGEL_37189;2815;Eppendorfer Baum SO Hegestraße T185;;29.10.2020;POINT (9.984140 53.583639);EPSG:4326
APP_KFZ_PEGEL_37190;2826;Lehmweg S Hegestraße T184;;29.10.2020;POINT (9.979782 53.581993);EPSG:4326
APP_KFZ_PEGEL_37191;2833;Martinistraße NO Lokstedter Steindamm T183;;29.10.2020;POINT (9.969629 53.586535);EPSG:4326
APP_KFZ_PEGEL_37192;2848;St. Pauli Hafenstraße W Helgoländer Allee T178;;11.06.2024;POINT (9.968101 53.546115);EPSG:4326
APP_KFZ_PEGEL_37193;2854;Feldstraße O Sternstraße T177;;27.10.2020;POINT (9.967573 53.557355);EPSG:4326
APP_KFZ_PEGEL_37194;2868;Platz der Republik W Max-Brauer-Allee T171;;13.08.2020;POINT (9.935413 53.550303);EPSG:4326
APP_KFZ_PEGEL_37195;2878;Julius-Leber-Straße W Harkortstraße T170;;13.08.2020;POINT (9.935064 53.555708);EPSG:4326
APP_KFZ_PEGEL_37196;2884;Plöner Straße O Schleswiger Straße T169;;13.08.2020;POINT (9.934085 53.566772);EPSG:4326
APP_KFZ_PEGEL_37197;2898;Holstenkamp W Große Bahnstraße T168;;22.10.2020;POINT (9.930650 53.573307);EPSG:4326
APP_KFZ_PEGEL_37198;2908;Sportplatzring O Kieler Straße T163;;06.02.2024;POINT (9.932809 53.592499);EPSG:4326
APP_KFZ_PEGEL_37199;2915;Luruper Chaussee SO Ebertallee T144;;25.08.2020;POINT (9.893079 53.573476);EPSG:4326
APP_KFZ_PEGEL_37200;2921;Kieler Straße NW A7 AS HH-Stellingen T38;;28.02.2008;POINT (9.922127 53.596672);EPSG:4326
APP_KFZ_PEGEL_37201;2925;Kieler Straße SO A7 AS HH-Stellingen T118;;06.02.2024;POINT (9.924775 53.594755);EPSG:4326
APP_KFZ_PEGEL_37202;2927;A7 SW AS HH-Stellingen T117;;28.02.2008;POINT (9.920653 53.592800);EPSG:4326
APP_KFZ_PEGEL_37203;2932;A7 N AS HH-Bahrenfeld T69;;31.12.2020;POINT (9.901080 53.568365);EPSG:4326
APP_KFZ_PEGEL_37204;2934;Bahrenfelder Marktplatz O AS HH-Bahrenfeld T68;;13.06.2024;POINT (9.901112 53.564877);EPSG:4326
APP_KFZ_PEGEL_37205;2936;A7 S AS HH-Bahrenfeld T70;;13.09.2005;POINT (9.898714 53.562153);EPSG:4326
APP_KFZ_PEGEL_37206;2938;Osdorfer Weg W AS HH-Bahrenfeld T67;;13.09.2005;POINT (9.898073 53.565421);EPSG:4326
APP_KFZ_PEGEL_37207;2945;Sierichstraße SO Hudtwalckerstraße T63;;27.08.2020;POINT (9.996966 53.593294);EPSG:4326
APP_KFZ_PEGEL_37208;2957;Krugkoppel SW Leinpfad T62;;29.10.2020;POINT (9.999098 53.579928);EPSG:4326
APP_KFZ_PEGEL_37209;2961;Budapester Straße NW Simon-von-Utrecht-Straße T61;;26.08.2012;POINT (9.968136 53.551589);EPSG:4326
APP_KFZ_PEGEL_37210;2965;Budapester Straße SO Simon-von-Utrecht-Straße T136;;06.02.2024;POINT (9.969451 53.551003);EPSG:4326
APP_KFZ_PEGEL_37211;2968;Simon-von-Utrecht-Straße W Budapester Straße T134;;22.06.2023;POINT (9.967958 53.551060);EPSG:4326
APP_KFZ_PEGEL_37212;2978;Kennedybrücke W Ferdinandstor T54;;23.01.2024;POINT (9.997926 53.557726);EPSG:4326
APP_KFZ_PEGEL_37213;2988;Lombardsbrücke W Ballindamm T53;;23.01.2024;POINT (9.997287 53.556886);EPSG:4326
APP_KFZ_PEGEL_37214;2997;Hudtwalckerstraße SW Sierichstraße T41;;27.08.2020;POINT (9.995085 53.593634);EPSG:4326
APP_KFZ_PEGEL_37215;3008;Reeperbahn W Millerntorplatz T34;;22.06.2023;POINT (9.968236 53.550024);EPSG:4326
APP_KFZ_PEGEL_37216;3013;Elbgaustraße NO Farnhornweg T140;;11.01.2005;POINT (9.883190 53.593901);EPSG:4326
APP_KFZ_PEGEL_37217;3014;Farnhornweg O Elbgaustraße T141;;11.01.2005;POINT (9.883674 53.593187);EPSG:4326
APP_KFZ_PEGEL_37218;3017;Elbgaustraße SW Farnhornweg T142;;16.01.2024;POINT (9.881985 53.592651);EPSG:4326
APP_KFZ_PEGEL_37219;3022;Halbmondsweg N Elbchaussee T145;;25.08.2020;POINT (9.889885 53.547226);EPSG:4326
APP_KFZ_PEGEL_37220;3024;Elbchaussee O Halbmondsweg T146;;25.08.2020;POINT (9.890839 53.546661);EPSG:4326
APP_KFZ_PEGEL_37221;3028;Elbchaussee W Halbmondsweg T148;;25.08.2020;POINT (9.888873 53.546469);EPSG:4326
APP_KFZ_PEGEL_37222;3038;Barsbütteler Straße W Holsteiner Tor (Landesgrenze) T346;;22.03.2023;POINT (10.145622 53.570156);EPSG:4326
APP_KFZ_PEGEL_37223;3042;Wilhelmsburger Reichsstraße N AS HH-Wilhelmsburg T340;;13.02.2024;POINT (10.005039 53.511957);EPSG:4326
APP_KFZ_PEGEL_37224;3056;A255 S AS HH-Veddel T339;;18.06.2019;POINT (10.024761 53.521840);EPSG:4326
APP_KFZ_PEGEL_37225;3067;Eilbektal SW Mühlenstraße T218;;18.08.2020;POINT (10.057437 53.575876);EPSG:4326
APP_KFZ_PEGEL_37226;3076;Schwanenwik S Armgartstraße T307;;20.02.2020;POINT (10.016934 53.564721);EPSG:4326
APP_KFZ_PEGEL_37227;3085;Krausestraße SO Lämmersieth T304;;18.08.2020;POINT (10.054547 53.583551);EPSG:4326
APP_KFZ_PEGEL_37228;3092;Wilhelmsburger Brücke N Veddeler Straße T290;;18.06.2019;POINT (10.014977 53.522058);EPSG:4326
APP_KFZ_PEGEL_37229;3102;Hufnerstraße N Osterbekstraße T209;;24.09.2020;POINT (10.042198 53.585089);EPSG:4326
APP_KFZ_PEGEL_37230;3111;Adolph-Schönfelder-Straße NW Hamburger Straße T90;;30.03.2004;POINT (10.034240 53.575917);EPSG:4326
APP_KFZ_PEGEL_37231;3113;Hamburger Straße NO Wagnerstraße T88;;30.03.2004;POINT (10.036177 53.575478);EPSG:4326
APP_KFZ_PEGEL_37232;3115;Wagnerstraße SO Hamburger Straße T89;;30.03.2004;POINT (10.036306 53.574587);EPSG:4326
APP_KFZ_PEGEL_37233;3117;Hamburger Straße SW Wagnerstraße T87;;30.03.2004;POINT (10.034262 53.574344);EPSG:4326
APP_KFZ_PEGEL_37234;3122;Mühlendamm N Lübecker Straße T86;;10.05.2011;POINT (10.025746 53.559450);EPSG:4326
APP_KFZ_PEGEL_37235;3123;Lübecker Straße NO Mühlendamm T85;;05.01.2004;POINT (10.026904 53.559270);EPSG:4326
