_fid;zaehlstelle;bezeichnung;knoten;letzte_zaehlung;geom;coordinate_reference_system
APP_KFZ_BEDARFSZAEHLSTELLEN_163721;6044;Jütländer Allee / Wördemanns Weg;;12.12.2013;POINT (9.926237 53.598744);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163722;6045;Eidelstedter Platz / Busbahnhof;;27.10.2005;POINT (9.904143 53.608603);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163723;6046;Essener Straße / Zufahrt Betriebshof;;17.08.2004;POINT (9.991775 53.667118);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163724;6047;Holsteiner Chaussee / Zufahrt Gartenbetrieb;;25.02.2006;POINT (9.907944 53.619504);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163725;6048;Schleswiger Damm / A7 AS HH-Schnelsen Knoten Ost;;19.01.2006;POINT (9.924786 53.633326);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163726;6049;Schleswiger Damm / A7 AS HH-Schnelsen Knoten West;;19.01.2006;POINT (9.923105 53.634580);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163727;6050;Oldesloer Straße / A7 AS HH-Schnelsen-Nord Knoten West;;13.08.2019;POINT (9.929291 53.644923);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163728;6051;Oldesloer Straße / A7 AS HH-Schnelsen-Nord Knoten Ost;;13.08.2019;POINT (9.931264 53.645878);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163729;6052;Holsteiner Chaussee / Zufahrt Hornbach;;09.09.2010;POINT (9.906163 53.613963);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163730;6053;Hörgensweg O AKN Bahnübergang;;27.10.2005;POINT (9.904654 53.617651);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163731;6054;Fahrenort O Jevenstedter Straße;;26.02.2004;POINT (9.874987 53.600559);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163732;6055;A7 AS HH-Schnelsen S Schleswiger Damm;;19.09.2006;POINT (9.923304 53.632600);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163733;6056;Krohnstieg O Ermlandweg;;05.04.2005;POINT (9.992937 53.648942);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163734;6057;Friedrich-Ebert-Straße SO Bondenwald;;26.09.2008;POINT (9.942266 53.621648);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163735;6058;Elbgaustraße NO Fangdieckstraße;;25.03.2010;POINT (9.891428 53.602694);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163736;6059;Kieler Straße NW Düngelskamp;;30.05.2012;POINT (9.915474 53.600642);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163737;6060;Kieler Straße SO Mühlenaustieg;;30.05.2012;POINT (9.907827 53.606265);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163738;6061;Alsterkrugchaussee / Ratsmühlendamm;;13.06.2013;POINT (10.013162 53.627343);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163739;6062;Flughafenstraße / Alsterkrugchaussee;;20.06.2017;POINT (10.011331 53.623493);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163740;6063;Bergstedter Chaussee / Volksdorfer Damm;;25.04.2019;POINT (10.127000 53.671082);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163741;6064;Bargteheider Straße / Scharbeutzer Straße;;15.09.2011;POINT (10.143644 53.600387);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163742;6065;Lemsahler Landstraße / An der Alsterschleife;;23.05.2019;POINT (10.090619 53.672066);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163743;6066;Fuhlsbüttler Straße / Alte Wöhr;;25.09.2012;POINT (10.041777 53.598666);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163744;6067;Harksheider Straße / Poppenbütteler Berg;;23.05.2019;POINT (10.076115 53.663639);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163745;6068;Ulzburger Straße / Poppenbütteler Weg;;09.11.2023;POINT (10.077270 53.653148);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163746;6069;Saseler Damm / Stadtbahnstraße;;27.03.2014;POINT (10.103527 53.653322);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163747;6070;Fuhlsbüttler Straße / Rübenkamp;;09.02.2016;POINT (10.034390 53.617319);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163748;6071;Rübenkamp / Hebebrandstraße;;06.10.2015;POINT (10.033942 53.607651);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163749;6072;Überseering West / Jahnring;;25.09.2012;POINT (10.017276 53.600324);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163750;6073;Erdkampsweg / Ratsmühlendamm (Knoten West);;26.04.2012;POINT (10.025419 53.626430);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163751;6074;Erdkampsweg / Ratsmühlendamm (Knoten Ost);;26.04.2012;POINT (10.026670 53.626284);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163752;6075;Sengelmannstraße / Maienweg;;05.09.2023;POINT (10.015669 53.617138);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163753;6076;Sengelmannstraße / Alsterdorfer Straße;;13.11.2018;POINT (10.019960 53.613883);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163754;6077;Hindenburgstraße / Bebelallee;;29.06.2023;POINT (10.011128 53.609922);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163755;6078;Braamkamp / Jahnring;;11.07.2023;POINT (10.006493 53.599363);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163756;6079;Hindenburgstraße / Jahnring;;13.11.2018;POINT (10.013637 53.599842);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163757;6080;Überseering / Hebebrandstraße;;25.09.2012;POINT (10.025032 53.605489);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163758;6081;Sengelmannstraße / Hebebrandstraße;;06.10.2015;POINT (10.027149 53.606163);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163759;6082;Fuhlsbüttler Straße / Hebebrandstraße;;11.12.2018;POINT (10.038613 53.608293);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163760;6083;Überseering Ost / Jahnring;;25.09.2012;POINT (10.025057 53.600266);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163761;6084;Rübenkamp / Jahnbrücke;;28.04.2021;POINT (10.035742 53.600920);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163762;6085;August-Krogmann-Straße / Berner Heerweg;;28.09.2023;POINT (10.119758 53.606330);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163763;6086;Karlshöhe / Pezolddamm;;09.08.2012;POINT (10.110976 53.623563);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163764;6087;Farmsener Landstraße / Eulenkrugstraße;;04.04.2013;POINT (10.158935 53.646075);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163765;6088;Halenreie / Waldweg (Süd);;09.11.2023;POINT (10.160671 53.653106);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163766;6089;Hindenburgstraße / Maienweg;;13.11.2018;POINT (10.008053 53.614739);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163767;6090;Überseering / Sydneystraße;;25.09.2012;POINT (10.018045 53.605279);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163768;6091;Steilshooper Allee / Steilshooper Straße;;04.04.2017;POINT (10.057405 53.608461);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163769;6092;Berner Heerweg / Friedrich-Ebert-Damm;;21.08.2018;POINT (10.118729 53.605144);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163770;6093;Steilshooper Allee / Nordheimstraße;;25.09.2012;POINT (10.043103 53.607706);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163771;6094;Wellingsbüttler Weg / Borstels Ende;;16.05.2024;POINT (10.057368 53.636633);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163772;6095;Halenreie / Farmsener Landstraße;;13.08.2013;POINT (10.161605 53.650220);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163773;6096;Alsterkrugchaussee / Preetzer Straße;;13.06.2013;POINT (10.015382 53.632907);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163774;6097;Alsterkrugchaussee / Hornkamp;;13.06.2013;POINT (10.013733 53.629091);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163775;6098;Langenhorner Chaussee / Stockflethweg;;25.10.2012;POINT (10.000675 53.679242);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163776;6099;Moorreye / Flughafenstraße;;28.09.2021;POINT (10.020083 53.640318);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163777;6100;Schmuggelstieg / Langenhorner Chaussee;;25.10.2012;POINT (10.000226 53.680082);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163778;6101;Eichenlohweg / Steilshooper Allee;;25.09.2012;POINT (10.044424 53.607964);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163779;6102;Fuhlsbüttler Straße /  Meister-Bertram-Straße;;25.09.2012;POINT (10.039250 53.606562);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163780;6103;Eekbusch / Stadtbahnstraße;;27.03.2014;POINT (10.104681 53.653482);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163781;6104;Erdkampsweg / Hummelsbütteler Landstraße;;26.04.2012;POINT (10.024876 53.627756);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163782;6105;Hindenburgstraße / Rathenaustraße;;24.04.2018;POINT (10.010111 53.611665);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163783;6106;Sengelmannstraße / Rathenaustraße;;29.06.2023;POINT (10.018486 53.614848);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163784;6107;Carl-Cohn-Straße / Hindenburgstraße;;13.11.2018;POINT (10.013334 53.600438);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163785;6108;Hindenburgstraße / Alsterdorfer Straße;;09.05.2017;POINT (10.011453 53.608993);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163786;6109;Sengelmannstraße / Dorothea-Kasten-Straße;;24.02.2004;POINT (10.021238 53.613000);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163787;6110;Bramfelder Chaussee / Herthastraße;;11.07.2017;POINT (10.074739 53.611920);EPSG:4326
APP_KFZ_BEDARFSZAEHLSTELLEN_163788;6111;Fuhlsbüttler Straße / Lauensteinstraße;;25.09.2012;POINT (10.041245 53.599183);EPSG:4326
